admin1_pcode,admin3_pcode,state,township,total_pop,idps,pop_minus_idps,food_secure,marginally_food_secure,moderately_food_insecure,severely_food_insecure,food_insecure_moderately_severely,moderate_food_insecure_number,severely_food_insecure_number,moderately_severely,pin_2022,total_pin2,target_2022,pc_vul,pin_2021,target_2021,hrp_target_idps_2021,hrp_target_returnees_2021,hrp_target_stateless_rakhine_2021,hrp_target_other_vulnerable_2021,hrp_target_total,hrp_version,pin_new,target_new
MMR011,MMR011003,Mon,Chaungzon,117607.3699214522,0,117607.3699214522,0.135,0.623,0.233,0.009,0.242,27402.517191698367,1058.4663292930697,28460.983520991438,28461,12000,0,0.24200000000000005,0,0,0,0,0,0,0,NA,28461,0
MMR011,MMR011002,Mon,Kyaikmaraw,188565.08118107164,0,188565.08118107164,0.135,0.623,0.233,0.009,0.242,43935.663915189696,1697.0857306296446,45632.74964581934,45633,24000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,45633,0
MMR011,MMR011009,Mon,Kyaikto,177704.36423321342,0,177704.36423321342,0.135,0.623,0.233,0.009,0.242,41405.11686633873,1599.3392780989207,43004.45614443765,43004,43004.45614443765,10000,0.24200000000000002,0,0,0,0,0,0,0,NA,43004,10000
MMR011,MMR011001,Mon,Mawlamyine,278680.7196406106,0,278680.7196406106,0.135,0.623,0.233,0.009,0.242,64932.607676262276,2508.1264767654952,67440.73415302778,67441,44000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,67441,0
MMR011,MMR011005,Mon,Mudon,183679.78085508436,0,183679.78085508436,0.135,0.623,0.233,0.009,0.242,42797.38893923466,1653.118027695759,44450.50696693042,44451,27000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,44451,0
MMR011,MMR011008,Mon,Paung,210376.07410109657,0,210376.07410109657,0.135,0.623,0.233,0.009,0.242,49017.62526555551,1893.384666909869,50911.00993246538,50911,34004,0,0.24200000000000005,0,0,0,0,0,0,0,NA,50911,0
MMR011,MMR011004,Mon,Thanbyuzayat,164226.21257492076,0,164226.21257492076,0.135,0.623,0.233,0.009,0.242,38264.70752995654,1478.0359131742869,39742.74344313083,39743,23000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,39743,0
MMR011,MMR011007,Mon,Thaton,229296.140236455,0,229296.140236455,0.135,0.623,0.233,0.009,0.242,53426.000675094016,2063.6652621280946,55489.66593722211,55490,55489.66593722211,10000,0.24200000000000002,0,0,0,0,0,0,0,NA,55490,10000
MMR011,MMR011006,Mon,Ye,253869.98090638287,0,253869.98090638287,0.135,0.623,0.233,0.009,0.242,59151.70555118721,2284.8298281574457,61436.535379344656,61437,61436.535379344656,10000,0.242,0,0,0,0,0,0,0,NA,61437,10000
MMR012,MMR012014,Rakhine,Ann,123930.35613315948,3984,119946.35613315948,0.021,0.58,0.346,0.054,0.4,41501.439222073175,6477.103231190612,47978.542453263784,51963,51962.542453263784,1000,0.41928825248780516,6693,6693,4123,0,0,2570,6693,hrp,51963,1000
MMR012,MMR012010,Rakhine,Buthidaung,57501.30838010879,7030,50471.30838010879,0.021,0.58,0.346,0.054,0.4,17463.07269951764,2725.450652525875,20188.523352043514,27219,27218.523352043514,25000,0.4733548525907823,157500,121631,2751,0,110200,8680,121631,hrp,27219,25000
MMR012,MMR012017,Rakhine,Gwa,68340.06432105285,0,68340.06432105285,0.021,0.58,0.346,0.054,0.4,23645.662255084284,3690.363473336854,27336.025728421137,27336,12000,0,0.39999999999999997,0,0,0,0,0,0,0,NA,27336,0
MMR012,MMR012011,Rakhine,Kyaukpyu,171175.73756895756,1001,170174.73756895756,0.021,0.58,0.346,0.054,0.4,58880.45919885931,9189.435828723708,68069.89502758301,69071,47000,0,0.40350867481881325,893.7,864,864,0,0,0,864,hrp,69071,0
